Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt▼,PPR,DKPt,FDPt,VBD,PosRank,OvRank
1,Russell Wilson\WilsRu00,SEA,QB,32,3,3,79,103,925,14,1,14,90,6.43,0,0,0,0,,0,1,0,0,,1,102,102.0,106.0,103.0,43,1,2
2,Josh Allen\AlleJo02,BUF,QB,24,3,3,81,114,1038,10,1,22,84,3.82,2,0,0,0,,0,3,3,2,,,94,93.9,100.9,94.9,35,2,5
3,Patrick Mahomes\MahoPa00,KAN,QB,25,3,3,82,121,898,9,0,10,80,8.00,1,0,0,0,,0,0,0,1,,1,88,87.9,90.9,87.9,29,3,7
4,Dak Prescott\PresDa01,DAL,QB,27,3,3,96,143,1188,5,2,14,74,5.29,3,0,0,0,,0,2,2,3,,,85,84.9,91.9,86.9,26,4,9
5,Alvin Kamara\KamaAl00,NOR,RB,25,3,2,0,0,0,0,0,31,153,4.94,3,31,27,285,10.56,3,0,0,6,,,80,106.8,112.8,93.3,50,1,1
6,Kyler Murray\MurrKy00,ARI,QB,23,3,3,75,113,786,4,5,26,187,7.19,4,0,0,0,,0,0,0,4,,,80,80.1,91.1,85.1,21,5,14
7,Aaron Rodgers\RodgAa00,GNB,QB,37,3,3,71,106,887,9,0,5,26,5.20,0,1,1,-6,-6.00,0,0,0,0,,,73,74.5,77.5,74.0,14,6,23
8,Cam Newton\NewtCa00,NWE,QB,31,3,3,62,91,714,2,2,35,149,4.26,4,0,0,0,,0,0,0,4,,,71,71.5,79.5,73.5,12,7,31
9,Aaron Jones\JoneAa00,GNB,RB,26,3,3,0,0,0,0,0,50,303,6.06,4,18,10,95,9.50,1,1,0,5,,,70,79.8,82.8,74.8,40,2,3
10,Matt Ryan\RyanMa00,ATL,QB,35,3,3,80,128,961,7,2,6,14,2.33,0,0,0,0,,0,0,0,0,,,64,63.8,68.8,65.8,5,8,54
11,Jared Goff\GoffJa00,LAR,QB,26,3,3,63,90,863,5,2,13,32,2.46,1,0,0,0,,0,0,0,1,,1,62,61.7,66.7,63.7,2,9,64
12,Joe Burrow\BurrJo01,CIN,QB,24,3,3,91,141,821,5,1,16,64,4.00,1,0,0,0,,0,3,1,1,,,61,61.2,66.2,62.2,2,10,67
13,Calvin Ridley\RidlCa00,ATL,WR,26,3,3,0,0,0,0,0,2,6,3.00,0,35,21,349,16.62,4,0,0,4,,,60,80.5,83.5,70.0,36,1,4
14,Dalvin Cook\CookDa01,MIN,RB,25,3,3,0,0,0,0,0,48,294,6.13,4,9,5,24,4.80,0,1,1,4,3,,60,64.8,68.8,62.3,30,3,6
15,Ben Roethlisberger\RoetBe00,PIT,QB,38,3,3,73,109,777,7,1,11,4,0.36,0,0,0,0,,0,2,0,0,,1,59,59.5,63.5,60.5,,11,74
16,Lamar Jackson\JackLa00,BAL,QB,23,3,3,53,77,576,5,0,32,182,5.69,0,0,0,0,,0,3,1,0,,,59,59.2,66.2,59.2,,12,
17,Ryan Tannehill\TannRy00,TEN,QB,32,3,3,70,104,809,6,1,11,35,3.18,0,1,1,0,0.00,0,2,0,0,,,58,58.9,62.9,59.4,,13,
18,Ryan Fitzpatrick\FitzRy00,MIA,QB,38,3,3,69,97,679,4,3,15,68,4.53,1,1,1,0,0.00,0,1,0,1,1,1,54,55.0,61.0,57.5,,14,
19,Nick Chubb\ChubNi00,CLE,RB,25,3,3,0,0,0,0,0,51,292,5.73,4,3,3,17,5.67,0,1,1,4,,,53,55.9,59.9,54.4,23,4,10
20,Ezekiel Elliott\ElliEz00,DAL,RB,25,3,3,0,0,0,0,0,58,219,3.78,3,23,15,88,5.87,1,2,1,4,,,53,67.7,71.7,60.2,23,5,11
21,Deshaun Watson\WatsDe00,HOU,QB,25,3,3,64,95,792,4,3,12,49,4.08,1,0,0,0,,0,0,0,1,,,53,52.6,58.6,55.6,,17,
22,Gardner Minshew II\MinsGa00,JAX,QB,24,3,3,79,107,787,6,3,12,60,5.00,0,0,0,0,,0,2,1,0,,,53,53.5,60.5,56.5,,15,
23,Tom Brady\BradTo00,TAM,QB,43,3,3,71,109,753,6,3,9,9,1.00,1,0,0,0,,0,3,1,1,,,53,53.0,60.0,56.0,,16,
24,James Robinson\RobiJa00,JAX,RB,22,3,3,0,0,0,0,0,43,210,4.88,3,11,10,129,12.90,0,0,0,3,,,52,61.9,67.9,56.9,22,6,12
25,Drew Brees\BreeDr00,NOR,QB,41,3,3,73,104,760,6,1,2,0,0.00,0,0,0,0,,0,1,0,0,,,52,52.4,56.4,53.4,,18,
26,Matthew Stafford\StafMa00,DET,QB,32,3,3,66,106,811,5,2,7,24,3.43,0,0,0,0,,0,0,0,0,,,51,50.8,55.8,52.8,,19,
27,Derek Carr\CarrDe02,LVR,QB,29,3,3,74,100,784,6,0,5,13,2.60,0,0,0,0,,0,4,3,0,,,51,50.7,56.7,50.7,,20,
28,Tyler Lockett\LockTy00,SEA,WR,28,3,3,0,0,0,0,0,0,0,,0,29,24,259,10.79,4,0,0,4,,,50,73.9,76.9,61.9,26,2,8
29,Josh Jacobs\JacoJo01,LVR,RB,22,3,3,0,0,0,0,0,68,252,3.71,3,13,10,75,7.50,0,1,1,3,,,49,58.7,62.7,53.7,19,7,16
30,Mitchell Trubisky\TrubMi00,CHI,QB,26,3,3,51,86,560,6,3,8,87,10.88,0,0,0,0,,0,1,0,0,,,49,49.1,55.1,52.1,,21,
31,Derrick Henry\HenrDe00,TEN,RB,26,3,3,0,0,0,0,0,82,319,3.89,2,8,5,26,5.20,0,0,0,2,,,47,51.5,54.5,49.0,17,8,19
32,Carson Wentz\WentCa00,PHI,QB,28,3,3,79,132,737,3,6,12,74,6.17,2,0,0,0,,0,3,1,2,,,47,46.9,56.9,52.9,,22,
33,D.K. Metcalf\MetcDK00,SEA,WR,23,3,3,0,0,0,0,0,0,0,,0,22,12,297,24.75,3,1,1,3,,,46,57.7,61.7,51.7,22,3,13
34,Christian McCaffrey\McCaCh01,CAR,RB,24,2,2,0,0,0,0,0,41,156,3.80,4,9,7,67,9.57,0,0,0,4,,,46,53.3,56.3,49.8,16,9,20
35,Tyreek Hill\HillTy00,KAN,WR,26,3,3,0,0,0,0,0,3,34,11.33,0,23,15,222,14.80,3,0,0,3,,,44,58.6,61.6,51.1,20,4,15
36,Austin Ekeler\EkelAu00,LAC,RB,25,3,3,0,0,0,0,0,47,236,5.02,1,16,16,142,8.88,0,0,0,1,,,44,59.8,65.8,51.8,14,10,25
37,Chris Carson\CarsCh00,SEA,RB,26,3,3,0,0,0,0,0,37,157,4.24,0,12,12,93,7.75,3,0,0,3,,,43,55.0,58.0,49.0,13,11,28
38,Kareem Hunt\HuntKa00,CLE,RB,25,3,0,0,0,0,0,0,39,204,5.23,1,11,8,42,5.25,2,1,0,3,,,43,50.6,53.6,46.6,13,12,30
39,Teddy Bridgewater\BridTe00,CAR,QB,28,3,3,77,104,871,2,2,6,38,6.33,0,0,0,0,,0,1,1,0,,1,43,42.6,48.6,44.6,,23,
