Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt▼,PPR,DKPt,FDPt,VBD,PosRank,OvRank
228,Tyrod Taylor\TaylTy00,LAC,QB,31,1,1,16,30,208,0,0,6,7,1.17,0,0,0,0,,0,0,0,0,,,9,9.0,9.0,9.0,,36,
229,Jacob Hollister\HollJa03,SEA,TE,27,3,0,0,0,0,0,0,0,0,,0,3,2,10,5.00,1,0,0,1,1,,9,11.0,11.0,10.0,,32,
230,Cordarrelle Patterson\PattCo00,CHI,WR,29,3,0,0,0,0,0,0,15,57,3.80,0,3,3,20,6.67,0,0,0,0,,,8,10.7,10.7,9.2,,104,
231,Javon Wims\WimsJa00,CHI,WR,26,3,1,0,0,0,0,0,0,0,,0,5,3,18,6.00,1,0,0,1,,,8,10.8,10.8,9.3,,103,
232,Harrison Bryant\BryaHa00,CLE,TE,22,3,2,0,0,0,0,0,0,0,,0,6,3,22,7.33,1,0,0,1,,,8,11.2,11.2,9.7,,35,
233,Larry Fitzgerald\FitzLa00,ARI,WR,37,3,3,0,0,0,0,0,0,0,,0,15,12,84,7.00,0,0,0,0,,,8,20.4,20.4,14.4,,97,
234,Marcedes Lewis\LewiMa00,GNB,TE,36,3,3,0,0,0,0,0,0,0,,0,3,2,22,11.00,1,0,0,1,,,8,10.2,10.2,9.2,,34,
235,Jakeem Grant\GranJa00,MIA,WR,28,3,0,0,0,0,0,0,1,29,29.00,0,5,5,46,9.20,0,0,0,0,,,8,12.5,12.5,10.0,,105,
236,Olabisi Johnson\JohnOl00,MIN,WR,23,3,2,0,0,0,0,0,0,0,,0,7,4,80,20.00,0,0,0,0,,,8,12.0,12.0,10.0,,102,
237,Sterling Shepard\ShepSt00,NYG,WR,27,2,2,0,0,0,0,0,1,6,6.00,0,10,8,76,9.50,0,0,0,0,,,8,16.2,16.2,12.2,,101,
238,Golden Tate\TateGo00,NYG,WR,32,2,1,0,0,0,0,0,0,0,,0,12,10,83,8.30,0,0,0,0,,,8,18.3,18.3,13.3,,99,
239,Josh Adams\AdamJo03,NYJ,RB,24,2,0,0,0,0,0,0,3,8,2.67,1,2,2,14,7.00,0,0,0,1,,,8,10.2,10.2,9.2,,65,
240,Chris Hogan\HogaCh00,NYJ,WR,33,3,2,0,0,0,0,0,0,0,,0,15,7,75,10.71,0,0,0,0,,,8,14.5,14.5,11.0,,106,
241,MyCole Pruitt\PruiMy00,TEN,TE,28,3,1,0,0,0,0,0,0,0,,0,3,3,17,5.67,1,0,0,1,,,8,10.7,10.7,9.2,,37,
242,Alec Ingold\IngoAl01,LVR,RB,24,3,0,0,0,0,0,0,0,0,,0,3,3,16,5.33,1,0,0,1,,,8,10.6,10.6,9.1,,66,
243,Van Jefferson\JeffVa00,LAR,WR,24,3,0,0,0,0,0,0,1,-1,-1.00,0,9,5,76,15.20,0,1,0,0,,,8,12.5,12.5,10.0,,107,
244,Miles Boykin\BoykMi00,BAL,WR,24,3,2,0,0,0,0,0,0,0,,0,11,8,83,10.38,0,0,0,0,,,8,16.3,16.3,12.3,,100,
245,Nick Boyle\BoylNi00,BAL,TE,27,3,3,0,0,0,0,0,0,0,,0,5,4,19,4.75,1,0,0,1,,,8,11.9,11.9,9.9,,36,
246,Steven Sims\SimsSt00,WAS,WR,23,3,2,0,0,0,0,0,0,0,,0,8,6,103,17.17,0,2,1,0,,,8,14.3,18.3,11.3,,98,
247,Isaiah McKenzie\McKeIs00,BUF,WR,25,3,1,0,0,0,0,0,1,4,4.00,0,7,6,70,11.67,0,0,0,0,,,7,13.4,13.4,10.4,,108,
248,Michael Pittman Jr.\PittMi01,IND,WR,23,3,1,0,0,0,0,0,0,0,,0,12,9,73,8.11,0,0,0,0,,,7,16.3,16.3,11.8,,109,
249,Royce Freeman\FreeRo00,DEN,RB,24,3,0,0,0,0,0,0,6,24,4.00,0,3,3,43,14.33,0,0,0,0,,,7,9.7,9.7,8.2,,71,
250,Courtland Sutton\SuttCo00,DEN,WR,25,1,1,0,0,0,0,0,0,0,,0,6,3,66,22.00,0,0,0,0,,,7,9.6,9.6,8.1,,111,
251,James O'Shaughnessy\O'ShJa00,JAX,TE,28,3,3,0,0,0,0,0,0,0,,0,9,8,69,8.63,0,0,0,0,,,7,14.9,14.9,10.9,,38,
252,Anthony Sherman\SherAn00,KAN,RB,32,3,0,0,0,0,0,0,2,2,1.00,0,1,1,5,5.00,1,0,0,1,,,7,7.7,7.7,7.2,,70,
253,Matt Breida\BreiMa00,MIA,RB,25,3,0,0,0,0,0,0,15,63,4.20,0,2,1,2,2.00,0,1,0,0,,,7,7.5,7.5,7.0,,72,
254,Deonte Harris\HarrDe07,NOR,WR,23,3,1,0,0,0,0,0,2,20,10.00,0,9,6,45,7.50,0,1,0,0,,,7,12.5,12.5,9.5,,112,
255,Jakob Johnson\JohnJa12,NWE,RB,26,3,2,0,0,0,0,0,0,0,,0,2,2,7,3.50,1,0,0,1,,,7,8.7,8.7,7.7,,69,
256,J.J. Taylor\TaylJJ01,NWE,RB,22,3,0,0,0,0,0,0,16,70,4.38,0,2,1,4,4.00,0,0,0,0,,,7,8.4,8.4,7.9,,67,
257,Kalen Ballage\BallKa00,NYJ,RB,25,2,0,0,0,0,0,0,3,13,4.33,0,7,7,56,8.00,0,0,0,0,,,7,13.9,13.9,10.4,,68,
258,Henry Ruggs III\RuggHe00,LVR,WR,21,2,2,0,0,0,0,0,2,11,5.50,0,8,4,59,14.75,0,0,0,0,,,7,11.0,11.0,9.0,,110,
259,Reggie Gilliam\GillRe00,BUF,TE,23,3,0,0,0,0,0,0,0,0,,0,1,1,1,1.00,1,0,0,1,,,6,7.1,7.1,6.6,,40,
260,Lee Smith\SmitLe00,BUF,WR,33,1,0,0,0,0,0,0,0,0,,0,1,1,1,1.00,1,0,0,1,,,6,7.1,7.1,6.6,,113,
261,Austin Hooper\HoopAu00,CLE,TE,26,3,3,0,0,0,0,0,0,0,,0,10,7,62,8.86,0,0,0,0,,,6,13.2,13.2,9.7,,39,
262,Marlon Mack\MackMa00,IND,RB,24,1,1,0,0,0,0,0,4,26,6.50,0,3,3,30,10.00,0,0,0,0,,,6,8.6,8.6,7.1,,77,
263,Dan Arnold\ArnoDa00,ARI,TE,25,3,3,0,0,0,0,0,0,0,,0,8,5,58,11.60,0,1,0,0,,,6,10.8,10.8,8.3,,42,
264,Christian Kirk\KirkCh01,ARI,WR,24,2,2,0,0,0,0,0,1,3,3.00,0,9,3,57,19.00,0,0,0,0,,,6,9.0,9.0,7.5,,114,
265,Tyler Ervin\ErviTy00,GNB,RB,27,3,0,0,0,0,0,0,4,43,10.75,0,4,4,18,4.50,0,0,0,0,,,6,10.1,10.1,8.1,,75,
266,C.J. Board\BoarC.00,NYG,WR,27,3,1,0,0,0,0,0,0,0,,0,7,6,58,9.67,0,0,0,0,,,6,11.8,11.8,8.8,,115,
267,Cam Akers\AkerCa00,LAR,RB,21,2,2,0,0,0,0,0,17,52,3.06,0,1,1,4,4.00,0,0,0,0,,,6,6.6,6.6,6.1,,76,
268,Tevin Coleman\ColeTe01,SFO,RB,27,2,0,0,0,0,0,0,18,30,1.67,0,4,3,34,11.33,0,0,0,0,,,6,9.4,9.4,7.9,,73,
269,Kyle Juszczyk\JuszKy00,SFO,RB,29,3,3,0,0,0,0,0,1,7,7.00,0,5,4,54,13.50,0,0,0,0,,,6,10.1,10.1,8.1,,74,
270,Rob Gronkowski\GronRo00,TAM,TE,31,3,3,0,0,0,0,0,0,0,,0,11,8,59,7.38,0,0,0,0,,,6,13.9,13.9,9.9,,41,
271,Olamide Zaccheaus\ZaccOl01,ATL,WR,23,3,0,0,0,0,0,0,0,0,,0,7,5,51,10.20,0,0,0,0,,,5,10.1,10.1,7.6,,117,
272,Drew Sample\SampDr00,CIN,TE,24,3,0,0,0,0,0,0,0,0,,0,11,9,53,5.89,0,0,0,0,,,5,14.3,14.3,9.8,,44,
273,KhaDarel Hodge\HodgKh00,CLE,WR,25,3,0,0,0,0,0,0,0,0,,0,6,3,51,17.00,0,0,0,0,,,5,8.1,8.1,6.6,,119,
274,Jack Doyle\DoylJa00,IND,TE,30,2,2,0,0,0,0,0,0,0,,0,4,3,49,16.33,0,0,0,0,,,5,7.9,7.9,6.4,,47,
275,Kenny Stills\StilKe00,HOU,WR,28,3,0,0,0,0,0,0,0,0,,0,9,5,51,10.20,0,0,0,0,,,5,10.1,10.1,7.6,,118,
276,Demarcus Robinson\RobiDe01,KAN,WR,26,3,1,0,0,0,0,0,0,0,,0,11,6,48,8.00,0,0,0,0,,,5,10.8,10.8,7.8,,120,
277,Darrel Williams\WillDa10,KAN,RB,25,3,0,0,0,0,0,0,9,29,3.22,0,5,5,20,4.00,0,0,0,0,,,5,9.9,9.9,7.4,,79,
278,James White\WhitJa02,NWE,RB,28,1,0,0,0,0,0,0,5,22,4.40,0,3,3,30,10.00,0,0,0,0,,,5,8.2,8.2,6.7,,78,
279,Le'Veon Bell\BellLe00,NYJ,RB,28,1,1,0,0,0,0,0,6,14,2.33,0,2,2,32,16.00,0,0,0,0,,,5,6.6,6.6,5.6,,83,
280,Anthony Firkser\FirkAn00,TEN,TE,25,3,0,0,0,0,0,0,0,0,,0,6,6,50,8.33,0,0,0,0,,,5,11.0,11.0,8.0,,46,
281,Anthony McFarland Jr.\McFaAn00,PIT,RB,21,1,0,0,0,0,0,0,6,42,7.00,0,2,1,7,7.00,0,0,0,0,,,5,5.9,5.9,5.4,,81,
282,Patrick Ricard\RicaPa00,BAL,RB,26,3,2,0,0,0,0,0,1,-1,-1.00,0,2,2,10,5.00,1,1,1,1,,,5,6.9,7.9,5.9,,80,
283,Ross Dwelley\DwelRo00,SFO,TE,25,3,2,0,0,0,0,0,0,0,,0,5,5,54,10.80,0,0,0,0,,,5,10.4,10.4,7.9,,43,
284,George Kittle\KittGe00,SFO,TE,27,1,1,0,0,0,0,0,1,9,9.00,0,5,4,44,11.00,0,0,0,0,,,5,9.3,9.3,7.3,,45,
285,LeSean McCoy\McCoLe01,TAM,RB,32,3,0,0,0,0,0,0,1,-5,-5.00,0,12,8,52,6.50,0,0,0,0,,,5,12.7,12.7,8.7,,82,
286,Justin Watson\WatsJu01,TAM,WR,25,2,1,0,0,0,0,0,0,0,,0,5,3,54,18.00,0,0,0,0,,,5,8.4,8.4,6.9,,116,
