Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Nate Sudfeld (15355575),Nate Sudfeld,15355575,QB,4100,LAR@PHI 09/20/2020 01:00PM ET,PHI,0
QB,John Wolford (15355576),John Wolford,15355576,QB,4100,LAR@PHI 09/20/2020 01:00PM ET,LAR,0
WR,Jalen Reagor (15355956),Jalen Reagor,15355956,WR/FLEX,4100,LAR@PHI 09/20/2020 01:00PM ET,PHI,6.5
QB,Logan Woodside (15355574),Logan Woodside,15355574,QB,4100,JAX@TEN 09/20/2020 01:00PM ET,TEN,0
WR,Scotty Miller (15355958),Scotty Miller,15355958,WR/FLEX,4100,CAR@TB 09/20/2020 01:00PM ET,TB,12.9
TE,Rob Gronkowski (15356206),Rob Gronkowski,15356206,TE/FLEX,4100,CAR@TB 09/20/2020 01:00PM ET,TB,3.1
QB,Jeff Driskel (15355573),Jeff Driskel,15355573,QB,4100,DEN@PIT 09/20/2020 01:00PM ET,DEN,0
WR,James Washington (15355954),James Washington,15355954,WR/FLEX,4100,DEN@PIT 09/20/2020 01:00PM ET,PIT,11.4
QB,Sean Mannion (15355572),Sean Mannion,15355572,QB,4100,MIN@IND 09/20/2020 01:00PM ET,MIN,0
RB,J.D. McKissic (15355694),J.D. McKissic,15355694,RB/FLEX,4100,WAS@ARI 09/20/2020 04:05PM ET,WAS,0.9
QB,Chad Henne (15355571),Chad Henne,15355571,QB,4100,KC@LAC 09/20/2020 04:25PM ET,KC,0
WR,Miles Boykin (15355952),Miles Boykin,15355952,WR/FLEX,4100,BAL@HOU 09/20/2020 04:25PM ET,BAL,6.7
RB,AJ Dillon (15355810),AJ Dillon,15355810,RB/FLEX,4000,DET@GB 09/20/2020 01:00PM ET,GB,1.4
RB,Tyler Ervin (15355812),Tyler Ervin,15355812,RB/FLEX,4000,DET@GB 09/20/2020 01:00PM ET,GB,5.4
RB,Patrick Taylor (15355814),Patrick Taylor,15355814,RB/FLEX,4000,DET@GB 09/20/2020 01:00PM ET,GB,0
