Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
182,Gus Edwards\EdwaGu00,BAL,RB,25,2,0,0,0,0,0,0,14,90,6.43,0,0,0,0,,0,0,0,0,,,9,9.0,9.0,9.0,,53,
183,Jalen Guyton\GuytJa01,LAC,WR,23,2,1,0,0,0,0,0,0,0,,0,3,2,30,15.00,1,0,0,1,,,9,11.0,11.0,10.0,,67,
184,Tyrod Taylor\TaylTy00,LAC,QB,31,1,1,16,30,208,0,0,6,7,1.17,0,0,0,0,,0,0,0,0,,,9,9.0,9.0,9.0,,34,
185,Scott Miller\MillSc01,TAM,WR,23,2,2,0,0,0,0,0,2,7,3.50,0,9,7,84,12.00,0,0,0,0,,,9,16.1,16.1,12.6,,65,
186,Gabriel Davis\DaviGa01,BUF,WR,21,2,1,0,0,0,0,0,1,0,0.00,0,3,3,22,7.33,1,0,0,1,,,8,11.2,11.2,9.7,,74,
187,Mike Davis\DaviMi01,CAR,RB,27,2,0,0,0,0,0,0,1,1,1.00,0,8,8,74,9.25,0,0,0,0,,,8,15.5,15.5,11.5,,58,
188,Curtis Samuel\SamuCu00,CAR,WR,24,2,0,0,0,0,0,0,5,31,6.20,0,10,7,51,7.29,0,0,0,0,,,8,15.2,15.2,11.7,,75,
189,Javon Wims\WimsJa00,CHI,WR,26,2,1,0,0,0,0,0,0,0,,0,4,3,18,6.00,1,0,0,1,,,8,10.8,10.8,9.3,,82,
190,A.J. Green\GreeA.00,CIN,WR,32,2,2,0,0,0,0,0,0,0,,0,22,8,80,10.00,0,0,0,0,,,8,16.0,16.0,12.0,,79,
191,T.Y. Hilton\HiltT.00,IND,WR,31,2,2,0,0,0,0,0,0,0,,0,14,7,81,11.57,0,0,0,0,,,8,15.1,15.1,11.6,,78,
192,Larry Fitzgerald\FitzLa00,ARI,WR,37,2,2,0,0,0,0,0,0,0,,0,12,11,84,7.64,0,0,0,0,,,8,19.4,19.4,13.9,,71,
193,Randall Cobb\CobbRa00,HOU,WR,30,2,0,0,0,0,0,0,0,0,,0,9,7,82,11.71,0,0,0,0,,,8,15.2,15.2,11.7,,77,
194,Olabisi Johnson\JohnOl00,MIN,WR,23,2,2,0,0,0,0,0,0,0,,0,7,4,80,20.00,0,0,0,0,,,8,12.0,12.0,10.0,,80,
195,Latavius Murray\MurrLa00,NOR,RB,30,2,0,0,0,0,0,0,18,62,3.44,0,3,2,19,9.50,0,0,0,0,,,8,10.1,10.1,9.1,,57,
196,Rex Burkhead\BurkRe00,NWE,RB,30,2,0,0,0,0,0,0,13,34,2.62,0,6,4,47,11.75,0,0,0,0,,,8,12.1,12.1,10.1,,56,
197,Sterling Shepard\ShepSt00,NYG,WR,27,2,2,0,0,0,0,0,1,6,6.00,0,10,8,76,9.50,0,0,0,0,,,8,16.2,16.2,12.2,,76,
198,Josh Adams\AdamJo03,NYJ,RB,24,2,0,0,0,0,0,0,3,8,2.67,1,2,2,14,7.00,0,0,0,1,,,8,10.2,10.2,9.2,,55,
199,Chris Hogan\HogaCh00,NYJ,WR,33,2,1,0,0,0,0,0,0,0,,0,12,7,75,10.71,0,0,0,0,,,8,14.5,14.5,11.0,,86,
200,Zay Jones\JoneZa00,LVR,WR,25,2,0,0,0,0,0,0,0,0,,0,1,1,15,15.00,1,0,0,1,,,8,8.5,8.5,8.0,,84,
201,Van Jefferson\JeffVa00,LAR,WR,24,2,0,0,0,0,0,0,1,-1,-1.00,0,8,5,76,15.20,0,0,0,0,,,8,12.5,12.5,10.0,,85,
202,Miles Boykin\BoykMi00,BAL,WR,24,2,2,0,0,0,0,0,0,0,,0,9,7,75,10.71,0,0,0,0,,,8,14.5,14.5,11.0,,83,
203,Mike Williams\WillMi07,LAC,WR,26,2,1,0,0,0,0,0,0,0,,0,13,6,83,13.83,0,0,0,0,,,8,14.3,14.3,11.3,,73,
204,Greg Olsen\OlseGr00,SEA,TE,35,2,2,0,0,0,0,0,0,0,,0,5,4,24,6.00,1,0,0,1,,,8,12.4,12.4,10.4,,26,
205,Chris Godwin\GodwCh00,TAM,WR,24,1,1,0,0,0,0,0,0,0,,0,7,6,79,13.17,0,0,0,0,,,8,13.9,13.9,10.9,,81,
206,Steven Sims\SimsSt00,WAS,WR,23,2,2,0,0,0,0,0,0,0,,0,8,6,103,17.17,0,2,1,0,,,8,14.3,18.3,11.3,,72,
207,Tarik Cohen\CoheTa00,CHI,RB,25,2,0,0,0,0,0,0,12,53,4.42,0,3,3,21,7.00,0,0,0,0,,,7,10.4,10.4,8.9,,59,
208,Andy Isabella\IsabAn00,ARI,WR,24,2,0,0,0,0,0,0,0,0,,0,3,2,67,33.50,0,0,0,0,,,7,8.7,8.7,7.7,,90,
209,Courtland Sutton\SuttCo00,DEN,WR,25,1,1,0,0,0,0,0,0,0,,0,6,3,66,22.00,0,0,0,0,,,7,9.6,9.6,8.1,,91,
210,Justin Jefferson\JeffJu00,MIN,WR,21,2,0,0,0,0,0,0,0,0,,0,6,5,70,14.00,0,0,0,0,,,7,12.0,12.0,9.5,,88,
211,Damiere Byrd\ByrdDa00,NWE,WR,27,2,1,0,0,0,0,0,0,0,,0,9,6,72,12.00,0,1,0,0,,,7,13.2,13.2,10.2,,87,
212,Evan Engram\EngrEv00,NYG,TE,26,2,2,0,0,0,0,0,0,0,,0,15,8,74,9.25,0,0,0,0,,,7,15.4,15.4,11.4,,27,
213,Alec Ingold\IngoAl01,LVR,RB,24,2,0,0,0,0,0,0,0,0,,0,2,2,5,2.50,1,0,0,1,,,7,8.5,8.5,7.5,,60,
214,Henry Ruggs III\RuggHe00,LVR,WR,21,2,2,0,0,0,0,0,2,11,5.50,0,8,4,59,14.75,0,0,0,0,,,7,11.0,11.0,9.0,,89,
215,Reggie Gilliam\GillRe00,BUF,TE,23,2,0,0,0,0,0,0,0,0,,0,1,1,1,1.00,1,0,0,1,,,6,7.1,7.1,6.6,,30,
216,Isaiah McKenzie\McKeIs00,BUF,WR,25,2,0,0,0,0,0,0,0,0,,0,5,5,64,12.80,0,0,0,0,,,6,11.4,11.4,8.9,,92,
217,Cordarrelle Patterson\PattCo00,CHI,WR,29,2,0,0,0,0,0,0,11,44,4.00,0,3,3,20,6.67,0,0,0,0,,,6,9.4,9.4,7.9,,93,
218,Marlon Mack\MackMa00,IND,RB,24,1,1,0,0,0,0,0,4,26,6.50,0,3,3,30,10.00,0,0,0,0,,,6,8.6,8.6,7.1,,66,
219,Christian Kirk\KirkCh01,ARI,WR,24,2,2,0,0,0,0,0,1,3,3.00,0,9,3,57,19.00,0,0,0,0,,,6,9.0,9.0,7.5,,94,
220,KJ Hamler\HamlKJ00,DEN,WR,21,1,0,0,0,0,0,0,1,9,9.00,0,7,3,48,16.00,0,0,0,0,,,6,8.7,8.7,7.2,,98,
221,Mecole Hardman\HardMe00,KAN,WR,22,2,1,0,0,0,0,0,1,3,3.00,0,4,3,36,12.00,0,0,0,0,1,,6,8.9,8.9,7.4,,96,
222,Matt Breida\BreiMa00,MIA,RB,25,2,0,0,0,0,0,0,12,59,4.92,0,2,1,2,2.00,0,1,0,0,,,6,7.1,7.1,6.6,,62,
223,Deonte Harris\HarrDe07,NOR,WR,23,2,1,0,0,0,0,0,2,20,10.00,0,6,4,40,10.00,0,0,0,0,,,6,10.0,10.0,8.0,,95,
224,Jakob Johnson\JohnJa12,NWE,RB,26,2,1,0,0,0,0,0,0,0,,0,1,1,1,1.00,1,0,0,1,,,6,7.1,7.1,6.6,,63,
225,MyCole Pruitt\PruiMy00,TEN,TE,28,2,1,0,0,0,0,0,0,0,,0,1,1,1,1.00,1,0,0,1,,,6,7.1,7.1,6.6,,28,
226,Eric Ebron\EbroEr00,PIT,TE,27,2,1,0,0,0,0,0,0,0,,0,7,4,61,15.25,0,0,0,0,,,6,10.1,10.1,8.1,,29,
227,Devontae Booker\BookDe00,LVR,RB,28,2,0,0,0,0,0,0,7,28,4.00,0,4,4,29,7.25,0,1,0,0,,,6,9.7,9.7,7.7,,64,
228,Hunter Renfrow\RenfHu00,LVR,WR,25,2,0,0,0,0,0,0,0,0,,0,5,5,58,11.60,0,0,0,0,,,6,10.8,10.8,8.3,,97,
229,Cam Akers\AkerCa00,LAR,RB,21,2,2,0,0,0,0,0,17,52,3.06,0,1,1,4,4.00,0,0,0,0,,,6,6.6,6.6,6.1,,65,
230,Tevin Coleman\ColeTe01,SFO,RB,27,2,0,0,0,0,0,0,18,30,1.67,0,4,3,34,11.33,0,0,0,0,,,6,9.4,9.4,7.9,,61,
